Date,return_francisco
2019-06-30,0.08507083585697184
2019-07-31,7.514839229938453e-05
2019-08-31,0.07912313456129927
2019-09-30,-0.03394786005434791
2019-10-31,0.02563546974700781
2019-11-30,-0.017295561946398474
2019-12-31,0.028041127840788826
2020-01-31,-0.0006110329676702886
2020-02-29,-0.07999031404320667
2020-03-31,-0.002224031676742455
2020-04-30,0.07261060302877476
2020-05-31,0.025881615436821104
2020-06-30,0.011954865129970793
2020-07-31,0.05743322417832797
2020-08-31,0.07104857652836949
2020-09-30,-0.03465353990483311
2020-10-31,-0.019493739663168697
2020-11-30,0.11803087847663973
2020-12-31,0.04676326357450633
2021-01-31,-0.0033394712422188944
2021-02-28,0.03139347149532412
2021-03-31,0.036479097170576624
2021-04-30,0.05036532063925736
2021-05-31,0.00456008993837731
