Date,return_jorge
2012-11-30,-0.02633138554729421
2012-12-31,-0.004891156642611848
2013-01-31,0.003528905424312216
2013-02-28,0.012393200908865856
2013-03-28,-0.01801991417895914
2013-04-30,0.00664662323561549
2013-05-31,0.02520486689071581
2013-06-28,0.02801624768449034
2013-07-31,-0.0012873929931909722
2013-08-30,-0.02648651145214865
2013-09-30,-0.010559255168843297
2013-10-31,-0.015662498836882328
2013-11-29,0.001138734623725643
2013-12-31,-0.017913955703270316
2014-01-31,0.040398841718960056
2014-02-28,-0.005365527303980253
2014-03-31,-0.016812519467736448
2014-04-30,-0.00847087215648691
2014-05-30,0.013462338717536732
2014-06-30,-0.0068906206711089775
2014-07-31,0.014237654027270799
2014-08-29,0.01569769793683455
2014-09-30,0.03264365299449664
2014-10-31,0.02606062142722838
