European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Februar 2009,,,,,
,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,
,,02/2009,01/2009,Change (%),Market Share
db x-trackers FTSE/XINHUA China 25 ETF,LU0292109856,10.466838637,8.772826843,0.19309759833589824,0.0004847840861122493
db x-trackers II Emerging Markets Liquid Eurobond Index ETF,LU0321462953,0.489779835,0.06923564900000001,6.074098994868957,2.2684735853990146e-05
db x-trackers II EONIA TRI ETF,LU0290358497,777.866555986,880.4776520290001,-0.11654026176194243,0.03602781513492782
db x-trackers II EONIA TRI ETF 1D,LU0335044896,39.406713093,19.758628350000002,0.994405299546008,0.0018251688075085412
db x-trackers II FED Funds Effective Rate TRI ETF,LU0321465469,13.26702047,28.61516833,-0.5363640598929862,0.000614477839683682
db x-trackers II Global Sovereign EUR Hedged Index ETF,LU0378818131,0.21222158,0.022086,8.608873494521415,9.829295003164919e-06
db x-trackers II iBoxx € Germany Covered TRI ETF,LU0321463506,31.571302895,7.575806835,3.167384884886654,0.00146226246072256
db x-trackers II iBoxx € Inflation-Linked TRI ETF,LU0290358224,5.224379099999999,14.056970274,-0.6283424523090089,0.00024197333457921306
db x-trackers II iBoxx € Sovereigns Eurozone 10-15 TRI ETF,LU0290357333,3.91956011,5.76488235,-0.32009712045554584,0.00018153909043475946
db x-trackers II iBoxx € Sovereigns Eurozone 1-3 TRI ETF,LU0290356871,44.638843689000005,47.158098498,-0.05342146713372764,0.0020675011618486094
db x-trackers II iBoxx € Sovereigns Eurozone 15+ TRI ETF,LU0290357507,0.32134928,21.32912918,-0.9849337834054039,1.4883674281261332e-05
db x-trackers II iBoxx € Sovereigns Eurozone 25+ TRI ETF,LU0290357846,0.68811148,13.49844379,-0.9490229028838294,3.187070198979961e-05
db x-trackers II iBoxx € Sovereigns Eurozone 3-5 TRI ETF,LU0290356954,7.57214829,15.50011092,-0.5114777997988674,0.0003507130582578868
db x-trackers II iBoxx € Sovereigns Eurozone 5-7 TRI ETF,LU0290357176,17.37586133,44.302817282,-0.6077933098611379,0.0008047836932825377
db x-trackers II iBoxx € Sovereigns Eurozone 7-10 TRI ETF,LU0290357259,0.57421564,6.31608217,-0.9090867369130506,2.6595480633925853e-05
db x-trackers II iBoxx € Sovereigns Eurozone TRI ETF,LU0290355717,8.855334638,19.797643328000003,-0.5527076384149313,0.00041014536084712323
db x-trackers II iBoxx Global Inflation-Linked TRI Hedged ETF,LU0290357929,7.3353355449999995,8.807727643,-0.1671704845653571,0.0003397447941863712
db x-trackers II iTraxx Crossover 5-year Short TRI ETF,LU0321462870,0.47802306,1.75981826,-0.7283679395393932,2.2140206830311997e-05
db x-trackers II iTraxx Crossover 5-year TRI ETF,LU0290359032,11.53340076,22.179298261,-0.4799925306798236,0.0005341831799563761
db x-trackers II iTraxx Europe 5-year Short TRI ETF,LU0321462102,0.00401724,0,,1.8606325077079455e-07
db x-trackers II iTraxx Europe 5-year TRI ETF,LU0290358653,4.04246006,4.570403860000001,-0.11551359927304128,0.00018723134785940127
db x-trackers II iTraxx Europe Senior Financials 5-year   TRI ETF,LU0378819295,0,1.4220925,-1,0
db x-trackers II iTraxx Europe Senior Financials 5-year  Short TRI ETF,LU0378819709,0.00010961,0.00010927,0.003111558524755198,5.076717576492017e-09
db x-trackers II iTraxx Europe Subordinated Financials 5- year Short TRI ETF,LU0378819881,0.28289195,0.1042778,1.7128684149454627,1.310247728138948e-05
db x-trackers II iTraxx Europe Subordinated Financials 5- year TRI ETF,LU0378819378,0,0.00010431999999999999,-1,0
db x-trackers II iTraxx HiVol 5-year Short TRI ETF,LU0321462441,0.00137892,0.03699215,-0.9627239833315987,6.386632059644532e-08
db x-trackers II iTraxx HiVol 5-year TRI ETF,LU0290358737,6.74778778,7.74952625,-0.12926447858667478,0.000312531820318986
db x-trackers II Short IBOXX € Sovereigns Eurozone TRI ETF,LU0321463258,9.566962455,9.703746379,-0.014095991244785111,0.00044310524996750043
db x-trackers II SONIA TRI ETF,LU0321464652,2.33133352,1.6908063999999998,0.3788293680459218,0.0001079784860655871
db x-trackers LPX MM Private Equity ETF,LU0322250712,0.038657004999999994,0.25648812,-0.8492834482938235,1.7904451850929637e-06
db x-trackers MSCI AC Asia ex Japan TRN Index ETF,LU0322252171,1.00940866,0,,0
db x-trackers MSCI Brazil TRN Index ETF,LU0292109344,26.727086082,19.461934417,0.3733005933189195,0.0012378967948262435
db x-trackers MSCI EM Asia TRN Index ETF,LU0292107991,2.3446434,14.676632895,-0.8402465049869329,0.0001085949489954019
db x-trackers MSCI EM EMEA TRN Index ETF,LU0292109005,3.73640829,2.54081118,0.47055724542270005,0.00017305619595651384
db x-trackers MSCI EM LATAM TRN Index ETF,LU0292108619,13.792239621,9.384569849,0.4696720087250106,0.0006388039896279564
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,10.121456131999999,18.981874390999998,-0.4667831045811286,0.00046878728441763796
db x-trackers MSCI Europe Mid Cap TRN Index ETF,LU0322253732,0.21122099,0.81247692,-0.7400283198198419,9.782951486698701e-06
db x-trackers MSCI Europe Small Cap TRN Index ETF,LU0322253906,0.28393525,0.3758919,-0.24463589132939556,1.315079896232693e-05
db x-trackers MSCI Europe TRN Index ETF,LU0274209237,31.176467859000002,61.351074473,-0.4918350146789938,0.0014439752062104165
db x-trackers MSCI Japan TRN Index ETF,LU0274209740,22.25514284,12.713322089,0.7505371675634578,0.0010307734223443889
db x-trackers MSCI Korea TRN Index ETF,LU0292100046,6.074828169,4.67308445,0.29996113573338046,0.00028136289517134494
db x-trackers MSCI Pacific ex Japan TRN Index ETF,LU0322252338,0.30559903000000005,0,,0
db x-trackers MSCI Russia Capped Index ETF,LU0322252502,13.18025374,8.08962061,0.6292795886752962,0.0006104591353387706
