XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: January 2010,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,01/2010,12/2009,Change (%),Market Share,in MEUR,100.000€
iShares DJ STOXX 600 Chemicals Swap (DE),DE000A0D8Q80,Swap-based,Capitalizing,0.53650079,3.071456028,-0.8253268856499482,4.1100201203876764e-05,29.879557,28.1855
iShares DJ STOXX 600 Construction & Materials (DE),DE0006344740,Full Replication,Distributing,6.49337662,0.6989889499999999,8.289669915382783,0.0004974439750117596,19.97948388,23.59965
iShares DJ STOXX 600 Construction & Materials Swap (DE),DE000A0F5T02,Swap-based,Capitalizing,0.289255,0.03263271,7.863958892779667,2.2159219372682328e-05,16.4010033,34.5022
iShares DJ STOXX 600 Financial Services (DE),DE0006344773,Full Replication,Distributing,1.598959644,5.321334440999999,-0.6995190470119147,0.00012249294746663684,15.04706516,20.43535
iShares DJ STOXX 600 Financial Services Swap (DE),DE000A0F5T10,Swap-based,Capitalizing,0.0168438,1.96376452,-0.9914226986848709,1.2903682192860506e-06,5.1768525599999995,38.1276
iShares DJ STOXX 600 Food & Beverage (DE),DE0006344781,Full Replication,Distributing,12.807762051,6.523854975,0.9632199213625223,0.0009811758101371617,38.58933604,19.88165
iShares DJ STOXX 600 Food & Beverage Swap (DE),DE000A0F5T28,Swap-based,Capitalizing,2.08953652,2.2633291200000003,-0.07678626959918256,0.00016007501385943617,61.49218205,21.87565
iShares DJ STOXX 600 Health Care (DE),DE0006289374,Full Replication,Distributing,64.085468593,30.990522756,1.067905375381013,0.0049094534481804305,178.0241606,17.08405
iShares DJ STOXX 600 Health Care Swap (DE),DE000A0F5T36,Swap-based,Capitalizing,2.504155944,4.46269724,-0.43886940804436014,0.00019183813903477003,28.17300042,24.537
iShares DJ STOXX 600 Industrial Goods & Services (DE),DE0006344799,Full Replication,Distributing,13.706633765,7.210153343999999,0.9010183433069576,0.0010500364884259553,37.22540129,23.46075
iShares DJ STOXX 600 Industrial Goods & Services Swap (DE),DE000A0F5T44,Swap-based,Capitalizing,0.8706195,2.68168726,-0.6753463712990903,6.66963353810133e-05,29.513335050000002,29.91105
iShares DJ STOXX 600 Insurance (DE),DE0006289416,Full Replication,Distributing,11.57730424,10.570801556,0.09521536079056458,0.0008869130158456907,100.35763948,19.08215
iShares DJ STOXX 600 Insurance Swap (DE),DE000A0F5T51,Swap-based,Capitalizing,1.603938825,1.00316335,0.5988810047735498,0.00012287439208842485,12.99013533,28.00325
iShares DJ STOXX 600 Media (DE),DE0006289424,Full Replication,Distributing,3.357703788,2.42389648,0.38525049056550476,0.0002572266506258437,22.32518626,31.0993
iShares DJ STOXX 600 Media Swap (DE),DE000A0F5T69,Swap-based,Capitalizing,0.44108374,0.46909725,-0.059717915634764474,3.379050096414297e-05,3.14984629,31.7583
iShares DJ STOXX 600 Oil & Gas (DE),DE0006344765,Full Replication,Distributing,43.17579091,19.103530627,1.2600948355052988,0.003307606860257398,158.56943612999999,16.65795
iShares DJ STOXX 600 Oil & Gas Swap (DE),DE000A0F5T77,Swap-based,Capitalizing,2.504073682,2.910243752,-0.13956565312471458,0.0001918318371153424,30.764007120000002,20.7563
iShares DJ STOXX 600 Personal & Household Goods (DE),DE0006289432,Full Replication,Distributing,3.358641903,3.96537845,-0.15300848447390947,0.0002572985176500328,19.26120762,21.8707
iShares DJ STOXX 600 Personal & Household Goods Swap (DE),DE000A0F5T85,Swap-based,Capitalizing,0.3775829,0.66281057,-0.430330599585942,2.8925834687295205e-05,20.797450519999998,30.5603
iShares DJ STOXX 600 Real Estate (DE),DE000A0H0751,Full Replication,Distributing,3.069598811,3.15525315,-0.02714658220054389,0.00023515553210514545,49.188620740000005,30.61605
iShares DJ STOXX 600 Retail (DE),DE0006289440,Full Replication,Distributing,3.41627512,0.74546365,3.5827521167531104,0.0002617136776253363,15.25046084,24.13695
iShares DJ STOXX 600 Retail Swap (DE),DE000A0F5T93,Swap-based,Capitalizing,3.299951665,3.56265812,-0.07373888993872924,0.0002528023815110657,16.311093600000003,29.7814
iShares DJ STOXX 600 Technology (DE),DE0006289366,Full Replication,Distributing,6.34415891,1.392866145,3.554751318189301,0.00048601271895679316,26.28748707,24.86385
iShares DJ STOXX 600 Technology Swap (DE),DE000A0F5UA6,Swap-based,Capitalizing,1.32616619,0.5529709399999999,1.3982565702277232,0.00010159481263537126,8.305894349999999,30.25405
