XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: September 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM
,,,,,09-2021,08-2021,Change (%),Market Share,in MEUR
Lyxor EURO STOXX 50 (DR) UCITS ETF - Acc,FR0007054358,Lyxor,Full Replication,Accumulating,49.531348200000004,17.01134858,1.911664996285674,0.0030586966371754557,3801.7752307154997
Lyxor Core STOXX Europe 600 (DR) - UCITS ETF Acc,LU0908500753,Lyxor,Full Replication,Accumulating,48.04785194,48.2617024,-0.004431059191148501,0.002967086673251147,2975.1313335522996
iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),IE00B53L3W79,iShares,Full Replication,Accumulating,46.899637520000006,41.877698939999995,0.11991916239703526,0.0028961812827693603,3950.11659048
Xtrackers II EUR Corporate Bond UCITS ETF 1C,LU0478205379,Xtrackers,Optimised,Accumulating,46.74774975,43.122457409999996,0.08406970654597501,0.0028868017962782756,2661.2610407746
Xtrackers S&P 500 Swap UCITS ETF 1C,LU0490618542,Xtrackers,Swap-based,Accumulating,46.599777200000005,21.035837559999997,1.2152565623823923,0.0028776640853633273,7778.901831912496
Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,Xtrackers,Full Replication,Accumulating,46.5771365,27.84501153,0.6727282173978686,0.002876265960025134,5299.571805858873
iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),DE000A0H08J9,iShares,Full Replication,Distributing,46.383871909999996,14.678137119999999,2.1600653087508426,0.0028643313413846076,439.18857363
Lyxor MSCI World (LUX) UCITS ETF,LU0392494562,Lyxor,Swap-based,Distributing,46.31988063,48.20090383,-0.039024645816480796,0.00286037970428896,2926.304897150013
Xtrackers Nikkei 225 UCITS ETF 1D,LU0839027447,Xtrackers,Full Replication,Distributing,45.92436577,52.55467635,-0.12616023997263182,0.002835955576616318,1647.58195001432
Lyxor Core MSCI World (DR) UCITS ETF,LU1781541179,Lyxor,Optimised,Accumulating,45.78916939,45.37227381,0.009188333424632322,0.0028276068292494064,1212.045275478666
