XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: October 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,10/2009,09/2009,Change (%),Market Share,"€ 100,000 round trip",in €m
ComStage ETF MSCI World TRN,LU0392494562,1.60102682,1.27410173,0.25659261132939526,0.00011029071501659255,10.9239545455,178.9
ComStage ETF NASDAQ-100,LU0378449770,0.9328133860000001,0.673441595,0.385143705000877,6.425917044849303e-05,17.1306818182,58.788
ComStage ETF Nikkei 225,LU0378453376,2.603714847,4.619021966,-0.4363060262181918,0.00017936337392208577,26.2164090909,44.88
ComStage ETF SMI,LU0392496427,0.14412716,1.41995322,-0.8984986561740393,9.92855792991078e-06,15.6740454545,22.713178
ComStage ETF TOPIX,LU0392496773,0.0029291,0.41980453,-0.9930227051146876,2.017783395752866e-07,29.742,21.10554
db x-trackers CAC 40 ETF,LU0322250985,21.96317751,3.19307528,5.87837760906157,0.0015129881157232863,20.7599090909,24.701418
db x-trackers CAC 40 Short ETF,LU0322251280,0.30366976,1.865684,-0.837234086801409,2.091904678980772e-05,27.4233636364,20.454234
db x-trackers Currency Carry ETF,LU0328474126,3.6173724249999997,0.36434045000000004,8.928550137652845,0.00024919169763474376,37.8660909091,9.672748
db x-trackers Currency Momentum ETF,LU0328474043,0.04783461,0.064286395,-0.2559139457112193,3.2952060974467927e-06,52.6867727273,3.7316
db x-trackers Currency Returns ETF,LU0328474472,11.304009847,7.226455624,0.564253686061243,0.0007787048367998189,35.9278636364,105.581152
db x-trackers Currency Valuation ETF,LU0328473748,3.2686399589999997,8.984289176,-0.6361826856896353,0.00022516839424958275,37.7807727273,31.748148
db x-trackers DAX ETF,LU0274211480,1336.7504624839999,676.5174267660001,0.9759290885885297,0.09208538074716395,5.489,1210.725248
db x-trackers db commodity booster - S&P GSCI TM Light Energy Euro ETF,LU0411078123,5.36189832,7.34100234,-0.2695958846404618,0.00036936770338367374,96.8918947368,170.525552
db x-trackers db Commodity Booster DJ-UBSCI ETF,LU0429790743,0.37267378,0.47901418,-0.22199843854309287,2.5672560353571287e-05,96.1173181818,33.30419
db x-trackers db Hedge Fund Index ETF,LU0328476337,17.368354739999997,16.53168195,0.05061026412983938,0.0011964623196858279,61.0379545455,385.624256
db x-trackers DBLCI - OY Balanced ETF,LU0292106167,40.346260803999996,33.958679200999995,0.18809864674630528,0.0027793525359675626,80.7347727273,736.699584
db x-trackers DJ EURO STOXX 50 ETF,LU0274211217,529.9800845249999,355.98833147000005,0.48875689924028465,0.03650899643693439,8.0779090909,1748.4032
