European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
March 2009,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,
,,03/2009,02/2009,Change (%),Market Share,
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,26.325731062,10.121456131999999,1.6009825778692615,0.0010286653661976046,
db x-trackers MSCI Europe Mid Cap TRN Index ETF,LU0322253732,1.27211143,0.21122099,5.022656318389569,4.97071464759427e-05,
db x-trackers MSCI Europe Small Cap TRN Index ETF,LU0322253906,0.563246613,0.28393525,0.9837149948799948,2.2008592356150445e-05,
db x-trackers MSCI Europe TRN Index ETF,LU0274209237,37.995647991,31.176467859000002,0.21872843847611945,0.0014846617958121757,
db x-trackers MSCI Japan TRN Index ETF,LU0274209740,22.142018204,22.25514284,-0.00508307840633937,0.0008651887847114287,
db x-trackers MSCI Korea TRN Index ETF,LU0292100046,6.49765836,6.074828169,0.06960364626570237,0.0002538928966711301,
db x-trackers MSCI Pacific ex Japan TRN Index ETF,LU0322252338,5.6554411,0.30559903000000005,17.506083281743397,0.00022098365953976726,
db x-trackers MSCI Russia Capped Index ETF,LU0322252502,9.958315685,13.18025374,-0.24445189892072583,0.0003891164285883137,
db x-trackers MSCI Taiwan TRN Index ETF,LU0292109187,10.72156529,5.3434845310000005,1.0064744695711738,0.0004189400423211456,
db x-trackers MSCI USA TRN Index ETF,LU0274210672,25.884024497000002,20.166578695000002,0.2835109459304346,0.0010114058931608436,
db x-trackers MSCI World TRN Index ETF,LU0274208692,32.60219245,14.557850359,1.2394922083976887,0.0012739150968473123,
db x-trackers Quirin Wealth Management Total Return Index ETF,LU0397221945,0.8485734399999999,1.21754923,-0.30304794328521734,3.315760182869717e-05,
db x-trackers Russell 2000 ETF,LU0322248658,2.27249552,,,8.879667693777704e-05,
db x-trackers S&P 500 Shariah ETF,LU0328475362,0.3981665,0.33417571,0.19148845378378931,1.555816579473186e-05,
db x-trackers S&P 500 Short ETF,LU0322251520,37.747929001,34.108393494000005,0.10670498179986776,0.001474982294606214,
db x-trackers S&P CNX NIFTY ETF,LU0292109690,8.167998528,5.447683056,0.4993527420806694,0.0003191606408619254,
db x-trackers S&P Europe 350 Shariah ETF,LU0328475107,0.016128,0,,6.301938961149054e-07,
db x-trackers S&P Global Infrastructure ETF,LU0322253229,0.9845378850000001,1.404233616,-0.2988788519359872,3.847034757073901e-05,
db x-trackers S&P Japan 500 Shariah ETF,LU0328475289,0,0.016611,-1,0,
db x-trackers S&P Select Frontier ETF,LU0328476410,0.01530398,0.04180656,-0.633933526221722,5.97995708225731e-07,
db x-trackers S&P/ASX 200 ETF,LU0328474803,1.82709016,3.5690537599999996,-0.4880743516735371,7.139267525319977e-05,
db x-trackers S&P/MIB Index ETF,LU0274212538,4.35483322,1.7890278400000001,1.434189744079108,0.00017016302789201506,
db x-trackers ShortDAX ETF,LU0292106241,1204.9124886470001,899.194685309,0.33999066979910264,0.04708137994158977,
db x-trackers SLI ETF,LU0322248146,0.46118790000000004,0.39668852000000004,0.1625945212631814,1.8020696896208547e-05,
db x-trackers SMI ETF,LU0274221281,11.586633393,10.115380235,0.14544714324325136,0.0004527421652275382,
EasyETF EPRA Eurozone,LU0192223062,0.6258499200000001,0.061915375,9.10815035845297,2.4454786673363214e-05,
EasyETF GS Ultra-Light Energy,LU0246046329,0.49229453,0.09583219999999999,4.13704715116631,1.9236173604709588e-05,
EasyETF GSAL,LU0252701189,7.28050607,9.600812150000001,-0.24167810428412562,0.00028448229699538186,
EasyETF GSCI,LU0203243414,10.231285603,8.328744952,0.228430653353497,0.00039978259774422803,
EasyETF GSNE,LU0230484932,5.780332033,3.26910533,0.7681694070713836,0.0002258637130899096,
EasyETF iTraxx Crossover,LU0281436138,0.46939388,0,,1.8341341644946206e-05,
EasyETF iTraxx Europe HiVol,LU0281436302,0.09587,1.4909947,-0.9357006433356202,3.746074455638392e-06,
EasyETF NMX Infrastructure Europe,LU0315455286,0.02604101,0.05373421,-0.5153737256023676,1.0175400267030762e-06,
EasyETF NMX30 Infrastructure Global,LU0315440411,0.09066192,0.48403078000000005,-0.8126938952105485,3.5425712173895008e-06,
EasyETF S&P GSCI Light Energy Dynamic TR,LU0309198074,0.1674174,0.43480102000000004,-0.6149562850611529,6.541754934488316e-06,
ETFlab DAX,DE000ETFL011,24.687511421,32.97365405,-0.2512958562746854,0.0009646527162562758,
ETFlab DAX Preisindex,DE000ETFL060,4.027468005,0.89681054,3.4908794281119846,0.00015737138848890598,
ETFlab Deutsche Börse EUROGOV®  Germany,DE000ETFL177,0.0020756,,,8.110307854514495e-08,
ETFlab Deutsche Börse EUROGOV®  Germany 10+,DE000ETFL219,0.0010694,,,4.178629417815476e-08,
ETFlab Deutsche Börse EUROGOV®  Germany 1-3,DE000ETFL185,0.0019150999999999999,,,7.483161771141216e-08,
ETFlab Deutsche Börse EUROGOV®  Germany 3-5,DE000ETFL193,0.0020421,,,7.979408204713842e-08,
ETFlab Deutsche Börse EUROGOV®  Germany 5-10,DE000ETFL201,0.0021653,,,8.460806319801618e-08,
ETFlab Deutsche Börse EUROGOV®  Germany Money Market,DE000ETFL227,0.0018032999999999999,,,7.046308611507992e-08,
ETFlab DJ EURO STOXX 50,DE000ETFL029,32.03636295,31.619581366000002,0.013181122772490284,0.0012518055794154082,
ETFlab DJ EURO STOXX Select Dividend 30,DE000ETFL078,0.5531672,0.51903113,0.06576882970391384,2.1614744107823234e-05,
ETFlab DJ STOXX Strong Growth 20,DE000ETFL037,0.10185903,0.00024765000000000003,410.3023622047244,3.980092942099767e-06,
ETFlab DJ STOXX Strong Style Composite 40,DE000ETFL052,0,0.9206557,-1,0,
ETFlab DJ STOXX Strong Value 20,DE000ETFL045,0.010206459999999999,0.00210116,3.8575358373469886,3.988125491654847e-07,
ETFlab iBoxx € Liquid Sovereign Diversified 10+,DE000ETFL169,0.0018667,,,7.29404108307102e-08,
ETFlab iBoxx € Liquid Sovereign Diversified 1-10,DE000ETFL110,0.37546165000000004,,,1.4670984626440415e-05,
ETFlab iBoxx € Liquid Sovereign Diversified 1-3,DE000ETFL128,6.306301299999999,,,0.0002464157109574338,
ETFlab iBoxx € Liquid Sovereign Diversified 3-5,DE000ETFL136,0.0020445999999999997,,,7.98917683529598e-08,
ETFlab iBoxx € Liquid Sovereign Diversified 5-7,DE000ETFL144,0.0020201,,,7.893444255591025e-08,
ETFlab iBoxx € Liquid Sovereign Diversified 7-10,DE000ETFL151,0.0020308,,,7.935253994482578e-08,
ETFlab MSCI Europe LC,DE000ETFL086,1.00232092,0.008214780000000001,121.01433513739867,3.916521116891595e-05,
ETFlab MSCI Japan LC,DE000ETFL102,0.23367942000000003,0.01982888,10.78480176389186,9.130911714513355e-06,
ETFlab MSCI USA LC,DE000ETFL094,0.8399501800000001,2.35359322,-0.6431200715304575,3.2820652063282256e-05,
ETFS DAXglobal Alternative Energy Fund,DE000A0Q8M94,0.14843856,0.041611730000000006,2.5672287597751877,5.800165827138279e-06,
ETFS Janney Global Water Fund,DE000A0Q8M86,0.0058397,0.30908199,-0.9811063077470156,2.281834880420519e-07,
ETFS Russell 1000 Fund,DE000A0Q8ND6,0.1605087,0.03346949,3.7956721180992004,6.271800782077041e-06,
ETFS Russell 2000 Fund,DE000A0Q8NE4,1.04133557,0.11884466,7.762157003941111,4.0689689981481634e-05,
ETFS S-Net ITG Global Agri Business Fund,DE000A0Q8NA2,0.01566044,0.23225184,-0.9325712984663544,6.119242124549672e-07,
ETFS WNA Global Nuclear Energy Fund,DE000A0Q8M37,0.013735200000000001,0.01393976,-0.014674571154740024,5.366963790871435e-07,
iShares $ Corporate Bond,DE000A0DPYY0,0.9538355,0.7161945799999999,0.331810553495113,3.727066654251667e-05,
iShares $ TIPS,DE000A0LGQF7,2.8395464599999998,0.7432508689999999,2.820441493489865,0.0001109539215542341,
