Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,
,Monthly Report: December 2021,,,,,,,,,,,
,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Xetra Order Book Turnover (€ m),,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,12-2021,November 2021,December 2021,December 2021
,478,Lyxor Core US TIPS (DR) UCITS ETF - Dist,LU1452600270,TIUP,Lyxor,Passive,Full Replication,Distributing,7.19144543,14.453814164999999,967.8182602775049,14.1489523809524
,479,Xtrackers II ESG EUR Corporate Bond Short Duration UCITS ETF 1C,LU2178481649,XZE5,Xtrackers,Passive,Optimised,Accumulating,7.1837117589999995,13.9331368,167.842766,10.4076
,480,Invesco Nasdaq Biotech UCITS ETF A,IE00BQ70R696,NBTK,Invesco,Passive,Swap-based,Accumulating,7.1695744249999995,7.093468115,599.0806595579477,19.85145
,481,L&G ROBO Global Robotics and Automation UCITS ETF,IE00BMW3QX54,IROB,L&G ETF,Passive,Full Replication,Accumulating,7.1102680099999995,9.270007810000001,1212.5874157866851,18.2286
,482,iShares J.P. Morgan USD EM Corp Bond UCITS ETF USD (Dist),IE00B6TLBW47,IS0Q,iShares,Passive,Optimised,Distributing,7.093647207999999,10.435806232000001,765.7178621931838,45.3862
,483,Vanguard FTSE Developed Europe UCITS ETF - (EUR) Accumulating,IE00BK5BQX27,VWCG,Vanguard,Passive,Full Replication,Accumulating,7.091829434999999,4.869165505,378.3257139,19.5776
,484,Deka iBoxx EUR Liquid Sovereign Diversified 5-7 UCITS ETF,DE000ETFL144,EL4N,Deka ETF,Passive,Full Replication,Distributing,7.0638149199999996,1.79539934,59.12751484,10.5996666666667
,485,BNP Paribas Easy MSCI USA SRI S-Series PAB 5% Capped UCITS ETF,LU1659681669,EKUS,EasyETF,Passive,Optimised,Distributing,7.063674464,3.3482401380000004,515.122,13.8337142857143
,486,Lyxor MDAX (DR) UCITS ETF,LU1033693638,C007,Lyxor,Passive,Full Replication,Distributing,7.04707354,8.03806006,274.95429984,17.14715
,487,Invesco MSCI USA UCITS ETF Acc,IE00B60SX170,SC0H,Invesco,Passive,Swap-based,Accumulating,7.042441804999999,7.592584050000001,3069.8248065422886,11.7947619047619
