XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Monthly turnover report: December 2009,,,,,,
,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,AuM
,,12/2009,11/2009,Change (%),Market Share,in MEUR
Lyxor ETF MSCI Taiwan,FR0010444786,0.45091675,1.70640359,-0.7357502336243913,4.62354321111123e-05,22.370263859999998
iShares MSCI Turkey,DE000A0LGQN1,1.428907293,0.717710113,0.9909253988734028,0.00014651517411711754,90.831
EasyETF STOXX 50 Europe (B share),FR0010148858,0,0,,0,59.31322226
iShares MSCI Latin America,DE000A0NA0K7,6.695190941,7.0446087010000005,-0.049600733671750996,0.000686501546512831,126.14
Lyxor ETF World Water,FR0010527275,0.9442616239999999,5.41750974,-0.8257019056139251,9.682129619620618e-05,52.55119218
iShares S&P Emerging Markets Infrastructure,DE000A0RFFS2,3.0439597000000003,2.5617204900000003,0.1882481761310344,0.00031211701951260805,52.848
Lyxor ETF Private Equity Privex TR,FR0010413518,0.6950365,0.2448864,1.8381996713578217,7.126662052473124e-05,10.17302129
Lyxor ETF Turkey (DJ Turkey Titans 20),FR0010326256,7.536369661,14.685798508,-0.48682602060115365,0.0007727530809742862,149.88643471
EasyETF S&P 100 (EUR),FR0010616300,0.010965299999999999,0.7714798199999999,-0.9857866664613469,1.1243436481966566e-06,20.1135075
Lyxor ETF MSCI Korea,FR0010361691,6.24972862,3.11199035,1.0082737788695262,0.0006408253925428266,82.63037091
db x-trackers II Global Sovereign EUR Hedged Index ETF,LU0378818131,0.02202662,0.14135949,-0.8441801112893093,2.2585328525659525e-06,16.14752766
db x-trackers FTSE All-Share ETF,LU0292097747,3.05222266,3.51054645,-0.1305562528591525,0.0003129642746347937,118.30685388
iShares Dow Jones-UBS Commodity Swap (DE),DE000A0H0728,12.890583259,42.146301956,-0.694146754027019,0.0013217554840092662,261.41532274
Xmtch (IE) on iBoxx USD Inflation Linked,IE00B3VTPS97,0,0,,0,16.91629875
iShares MSCI Brazil,DE000A0HG2M1,13.854642486,25.030822448,-0.4464967136105028,0.0014206067574229282,752.3880000000001
ETFlab MSCI Japan LC,DE000ETFL102,0.94946427,0.14025478,5.769567996185228,9.735475738595163e-05,28.251232200000004
db x-trackers S&P Europe 350 Shariah ETF,LU0328475107,0.006773899999999999,0.04384494,-0.8455032667395599,6.945720991235381e-07,5.292
Lyxor ETF FTSE RAFI US 1000,FR0010400804,0.038512769999999995,0.013415199000000001,1.8708310625880387,3.948965219734868e-06,29.40583209
ETFlab MSCI USA LC,DE000ETFL094,5.56925942,1.13153514,3.9218616577828955,0.0005710524521934097,53.79000770999999
iShares Emerging Market Islamic,DE000A0NA0M3,0.14728282,0.1192299,0.2352842701369373,1.5101867085760673e-05,18.914
ETFlab MSCI Europe MC,DE000ETFL292,0.163863,0.4405398,-0.6280404176875733,1.680194096143733e-05,37.88111641
iShares MSCI Pacific ex-Japan,DE000A0YBR12,0.44589992,0.62838179,-0.2903996788321954,4.572102384644263e-05,34.723
iShares FTSE BRIC 50,DE000A0MSAE7,15.224786428,24.780409948,-0.3856120031933218,0.0015610965423173524,580.16
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,0.6984053,19.45867147,-0.9641082742428355,7.161204553654532e-05,15.984080000000002
Market Access Jim Rogers International Commodity Index Fund,LU0249326488,6.057078184000001,8.796930097999999,-0.31145546042509875,0.0006210716882174625,184.709616
Lyxor ETF South Africa (FTSE JSE Top 40),FR0010464446,1.29038568,3.222690345,-0.5995936494481912,0.00013231165066454392,99.37065904
ETFlab DJ STOXX Strong Value 20,DE000ETFL045,0.07133439,0.10135277000000001,-0.2961772036422883,7.3143797519888285e-06,3.34066416
Xmtch (IE) on MSCI UK Large Cap,IE00B3VWKZ07,0,0.40587974753626427,-1,0,29.518471400000003
PowerShares Global Clean Energy Fund,IE00B23D9133,0.786312765,0.07161936599999999,9.97905229990447,8.062577064227156e-05,6.67200556
iShares MSCI Korea,DE000A0HG2L3,4.895511405000001,4.172628375,0.17324404788384729,0.000501968678730727,129.146
db x-trackers MSCI Taiwan TRN Index ETF,LU0292109187,10.861747857000001,18.980662132,-0.42774663067797336,0.0011137257723301322,95.8201542
Market Access RICI-Agriculture Indexfonds,LU0259321452,4.95715808,11.99123137,-0.5866014150638476,0.0005082897139480666,112.91787236000002
Market Access RICI-Metals Indexfonds,LU0259320728,1.5982136200000001,0.92334901,0.7308878903763596,0.0001638752548592729,28.61430795
ComStage ETF iBoxx € Liquid Sovereigns Diversified 25+ TR,LU0444606619,0.72704046,2.499996,-0.7091833506933611,7.454819505011039e-05,9.737425230000001
EasyETF GS Ultra-Light Energy,LU0246046329,0.76112045,0.35016263599999997,1.1736198319000546,7.804263845677555e-05,18.66461682
iShares MSCI Eastern Europe,DE000A0HGZV3,4.860346363,7.322715286,-0.33626446295238366,0.0004983629778733615,176.528
db x-trackers Currency Momentum ETF,LU0328474043,0.3704057,0.14685510999999998,1.5222527156188166,3.798010962316e-05,1.8682499200000002
