date,smb,hml
11/02/2009,-0.008100,0.012400
12/02/2009,0.003500,-0.005300
13/02/2009,0.009700,-0.014800
17/02/2009,0.010700,-0.024100
18/02/2009,-0.008400,-0.007600
19/02/2009,-0.000100,-0.020200
20/02/2009,-0.001100,-0.009500
23/02/2009,-0.005800,0.007700
24/02/2009,-0.010300,0.030800
25/02/2009,-0.015700,0.003400
26/02/2009,-0.005200,0.013500
27/02/2009,0.018600,-0.021300
02/03/2009,-0.002800,-0.003600
03/03/2009,-0.007100,-0.023200
04/03/2009,0.005400,-0.009500
05/03/2009,-0.004300,-0.032200
06/03/2009,0.004300,-0.006200
09/03/2009,-0.009200,0.001700
10/03/2009,-0.009300,0.043300
11/03/2009,-0.005800,0.005400
12/03/2009,0.011200,0.027000
13/03/2009,0.002200,0.005100
16/03/2009,-0.009900,0.003500
17/03/2009,0.006400,0.016000
18/03/2009,0.000000,0.040600
19/03/2009,0.011400,-0.027100
20/03/2009,-0.003400,-0.008900
23/03/2009,-0.008000,0.043700
24/03/2009,-0.010600,-0.017700
25/03/2009,0.009400,0.014300
26/03/2009,0.019500,-0.000800
27/03/2009,-0.013800,0.001800
30/03/2009,0.018400,-0.039200
31/03/2009,-0.006400,0.018200
01/04/2009,-0.005100,0.016400
02/04/2009,0.020000,0.005200
03/04/2009,-0.001500,0.009400
06/04/2009,-0.005300,-0.008300
07/04/2009,-0.007800,-0.001400
08/04/2009,0.011200,0.000500
09/04/2009,0.002200,0.046100
13/04/2009,-0.009900,0.023500
14/04/2009,0.000600,-0.030400
15/04/2009,-0.002100,0.023800
16/04/2009,0.013100,0.000700
17/04/2009,0.008200,0.003500
20/04/2009,0.001900,-0.043800
21/04/2009,0.007500,0.031400
22/04/2009,0.015900,-0.012000
23/04/2009,-0.019000,0.002400
24/04/2009,0.008500,0.000900
27/04/2009,-0.003600,-0.017900
28/04/2009,0.009100,0.001300
29/04/2009,0.007700,0.012800
30/04/2009,-0.002900,-0.006700
01/05/2009,-0.004800,-0.002200
04/05/2009,-0.004900,0.031700
05/05/2009,0.001900,-0.002300
06/05/2009,-0.021400,0.026100
07/05/2009,-0.007000,-0.008900
08/05/2009,0.001100,0.030500
11/05/2009,0.013100,-0.024800
12/05/2009,-0.008800,-0.015000
13/05/2009,-0.014900,-0.015500
14/05/2009,0.004700,0.010300
15/05/2009,0.006300,-0.011900
18/05/2009,0.002500,0.021100
19/05/2009,0.002800,-0.013700
20/05/2009,0.000200,-0.011700
21/05/2009,-0.001200,0.003800
22/05/2009,-0.003500,-0.006000
26/05/2009,0.015500,0.006600
27/05/2009,0.002400,-0.012500
28/05/2009,-0.013900,0.005300
29/05/2009,0.005400,-0.001700
01/06/2009,0.016200,-0.008000
02/06/2009,0.008500,-0.002000
03/06/2009,0.008200,-0.008200
04/06/2009,0.001200,0.012400
05/06/2009,0.001600,-0.006100
08/06/2009,-0.010000,0.006000
09/06/2009,0.003400,-0.002400
10/06/2009,-0.003400,-0.004600
11/06/2009,-0.002400,0.003500
12/06/2009,-0.001600,-0.000300
15/06/2009,-0.002900,-0.003700
16/06/2009,-0.000800,-0.003200
